clean_city_data,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
194,Sistranda,63.7256,8.834,290.13,76,93,3.98,NO,1654968913
195,Charlestown,-32.95,151.6667,283.61,64,0,2.24,AU,1654968728
196,Buchanan,5.8808,-10.0467,299.63,79,98,3.81,LR,1654968915
197,Gualaquiza,-3.4,-78.55,294.55,87,87,1.26,EC,1654968915
198,Bataiporã,-22.2953,-53.2711,291.83,33,93,3.98,BR,1654968916
199,Coihueco,-36.6167,-71.8333,285.56,62,59,1.03,CL,1654968917
200,Talnakh,69.4865,88.3972,286.6,52,32,3.48,RU,1654968921
201,Kruisfontein,-34.0033,24.7314,292.53,24,52,3.82,ZA,1654968924
202,Koundara,12.4833,-13.3,306.45,45,91,1.83,GN,1654968926
203,Jumla,29.2747,82.1838,290.13,68,91,1.48,NP,1654968927
204,Tautira,-17.7333,-149.15,298.79,80,61,9.54,PF,1654968928
205,Grand-Santi,4.25,-54.3833,303.23,57,89,1.6,GF,1654968929
206,Puerto Nariño,-3.7703,-70.3831,297.17,82,100,2.3,CO,1654968929
207,Vila do Maio,15.1333,-23.2167,301.59,81,19,4.05,CV,1654968930
208,Karratha,-20.7377,116.8463,295.94,79,0,2.95,AU,1654968934
209,Paso de Carrasco,-34.8603,-56.0522,285.51,58,0,7.2,UY,1654968935
210,Bijie,27.3125,105.2942,289.28,99,100,0.63,CN,1654968935
211,Solnechnyy,50.7214,136.6319,282.46,67,7,1.69,RU,1654968936
212,Rio Grande,-32.035,-52.0986,286.21,58,6,8.71,BR,1654968936
213,Zabul Province,32.25,67.25,297.49,14,79,1.88,AF,1654968937
214,Lakes Entrance,-37.8811,147.981,284.35,74,100,10.83,AU,1654968937
215,Dingle,10.9995,122.6711,298.34,90,92,0.8,PH,1654968938
216,Kupang,-10.1667,123.5833,298.19,73,100,5.68,ID,1654968938
217,Esso,55.9333,158.7,278.0,87,98,1.71,RU,1654968939
218,Ketchikan,55.3422,-131.6461,283.41,87,100,4.12,US,1654968939
219,Panguipulli,-39.6333,-72.3333,288.33,61,93,0.79,CL,1654968941
220,Afikpo,5.8931,7.9374,298.12,86,76,2.57,NG,1654968941
221,Nanortalik,60.1432,-45.2371,281.54,60,100,5.65,GL,1654968942
222,Sur,22.5667,59.5289,304.31,72,0,6.21,OM,1654968942
223,Bethel,41.3712,-73.414,297.78,54,0,1.54,US,1654968943
224,Kavieng,-2.5744,150.7967,300.71,72,7,6.09,PG,1654968943
